                                                    
{'loss': 0.6938, 'grad_norm': 38.45811080932617, 'learning_rate': 4.3795620437956205e-09, 'rewards/chosen': 0.0014656067360192537, 'rewards/rejected': 0.010996627621352673, 'rewards/accuracies': 0.33125001192092896, 'rewards/margins': -0.009534835815429688, 'logps/chosen': -345.25, 'logps/rejected': -172.0, 'logits/chosen': -6.46875, 'logits/rejected': -6.346875190734863, 'epoch': 0.0}
{'loss': 0.6811, 'grad_norm': 35.67047882080078, 'learning_rate': 5.790754257907542e-08, 'rewards/chosen': 0.08983688056468964, 'rewards/rejected': -0.0008911133045330644, 'rewards/accuracies': 0.44999998807907104, 'rewards/margins': 0.0908302292227745, 'logps/chosen': -209.3249969482422, 'logps/rejected': -142.72500610351562, 'logits/chosen': -6.5390625, 'logits/rejected': -6.4765625, 'epoch': 0.06}
{'loss': 0.6654, 'grad_norm': 44.130760192871094, 'learning_rate': 6.277372262773723e-08, 'rewards/chosen': 0.2426002472639084, 'rewards/rejected': 0.008772659115493298, 'rewards/accuracies': 0.45625001192092896, 'rewards/margins': 0.23354873061180115, 'logps/chosen': -391.20001220703125, 'logps/rejected': -143.3874969482422, 'logits/chosen': -6.393750190734863, 'logits/rejected': -6.59375, 'epoch': 0.06}
{'loss': 0.6743, 'grad_norm': 31.859102249145508, 'learning_rate': 6.763990267639902e-08, 'rewards/chosen': 0.16260680556297302, 'rewards/rejected': -0.0009840012062340975, 'rewards/accuracies': 0.4625000059604645, 'rewards/margins': 0.16360588371753693, 'logps/chosen': -286.8500061035156, 'logps/rejected': -132.6999969482422, 'logits/chosen': -6.282812595367432, 'logits/rejected': -6.598437309265137, 'epoch': 0.07}
{'loss': 0.6624, 'grad_norm': 55.18306350708008, 'learning_rate': 7.250608272506083e-08, 'rewards/chosen': 0.26944810152053833, 'rewards/rejected': -0.000247955322265625, 'rewards/accuracies': 0.48124998807907104, 'rewards/margins': 0.2699012756347656, 'logps/chosen': -357.70001220703125, 'logps/rejected': -158.4499969482422, 'logits/chosen': -6.449999809265137, 'logits/rejected': -6.525000095367432, 'epoch': 0.07}
{'loss': 0.6621, 'grad_norm': 38.40235137939453, 'learning_rate': 7.737226277372263e-08, 'rewards/chosen': 0.3590148985385895, 'rewards/rejected': 0.01320648193359375, 'rewards/accuracies': 0.5, 'rewards/margins': 0.3453330993652344, 'logps/chosen': -428.57501220703125, 'logps/rejected': -123.82499694824219, 'logits/chosen': -6.209374904632568, 'logits/rejected': -6.487500190734863, 'epoch': 0.08}
{'loss': 0.6731, 'grad_norm': 40.28829574584961, 'learning_rate': 8.223844282238443e-08, 'rewards/chosen': 0.11044006049633026, 'rewards/rejected': 0.002829647157341242, 'rewards/accuracies': 0.5375000238418579, 'rewards/margins': 0.10772857815027237, 'logps/chosen': -191.8249969482422, 'logps/rejected': -148.9250030517578, 'logits/chosen': -6.504687309265137, 'logits/rejected': -6.637499809265137, 'epoch': 0.08}
{'loss': 0.6678, 'grad_norm': 37.291587829589844, 'learning_rate': 8.710462287104623e-08, 'rewards/chosen': 0.30968475341796875, 'rewards/rejected': 0.012026024051010609, 'rewards/accuracies': 0.5249999761581421, 'rewards/margins': 0.29779738187789917, 'logps/chosen': -315.1499938964844, 'logps/rejected': -135.8000030517578, 'logits/chosen': -6.329687595367432, 'logits/rejected': -6.578125, 'epoch': 0.09}
{'loss': 0.6619, 'grad_norm': 36.92466354370117, 'learning_rate': 9.197080291970802e-08, 'rewards/chosen': 0.19924545288085938, 'rewards/rejected': 0.008137512020766735, 'rewards/accuracies': 0.5375000238418579, 'rewards/margins': 0.19088402390480042, 'logps/chosen': -235.9375, 'logps/rejected': -129.0500030517578, 'logits/chosen': -6.560937404632568, 'logits/rejected': -6.651562690734863, 'epoch': 0.09}
{'loss': 0.6495, 'grad_norm': 37.01439666748047, 'learning_rate': 9.683698296836983e-08, 'rewards/chosen': 0.24016113579273224, 'rewards/rejected': 0.00540237408131361, 'rewards/accuracies': 0.6312500238418579, 'rewards/margins': 0.2347869873046875, 'logps/chosen': -252.0, 'logps/rejected': -149.22500610351562, 'logits/chosen': -6.346875190734863, 'logits/rejected': -6.489062309265137, 'epoch': 0.1}
{'loss': 0.6234, 'grad_norm': 33.770660400390625, 'learning_rate': 1.0170316301703163e-07, 'rewards/chosen': 0.622790515422821, 'rewards/rejected': 0.013049697503447533, 'rewards/accuracies': 0.668749988079071, 'rewards/margins': 0.610015869140625, 'logps/chosen': -484.57501220703125, 'logps/rejected': -132.5500030517578, 'logits/chosen': -6.229687690734863, 'logits/rejected': -6.623437404632568, 'epoch': 0.1}
{'loss': 0.6481, 'grad_norm': 48.613399505615234, 'learning_rate': 1.0656934306569343e-07, 'rewards/chosen': 0.3395752012729645, 'rewards/rejected': 0.01512298546731472, 'rewards/accuracies': 0.6812499761581421, 'rewards/margins': 0.32516708970069885, 'logps/chosen': -287.07501220703125, 'logps/rejected': -124.92500305175781, 'logits/chosen': -6.371874809265137, 'logits/rejected': -6.431250095367432, 'epoch': 0.11}
{'loss': 0.6429, 'grad_norm': 32.1126708984375, 'learning_rate': 1.1143552311435523e-07, 'rewards/chosen': 0.21562500298023224, 'rewards/rejected': -0.013232422061264515, 'rewards/accuracies': 0.7124999761581421, 'rewards/margins': 0.22890014946460724, 'logps/chosen': -204.7624969482422, 'logps/rejected': -126.98750305175781, 'logits/chosen': -6.449999809265137, 'logits/rejected': -6.457812309265137, 'epoch': 0.11}
{'loss': 0.6203, 'grad_norm': 47.306243896484375, 'learning_rate': 1.1630170316301704e-07, 'rewards/chosen': 0.5961059331893921, 'rewards/rejected': -0.01033096294850111, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.6065155267715454, 'logps/chosen': -422.29998779296875, 'logps/rejected': -125.625, 'logits/chosen': -6.301562309265137, 'logits/rejected': -6.640625, 'epoch': 0.12}
{'loss': 0.6173, 'grad_norm': 48.636802673339844, 'learning_rate': 1.2116788321167882e-07, 'rewards/chosen': 0.45250242948532104, 'rewards/rejected': 0.011425781063735485, 'rewards/accuracies': 0.71875, 'rewards/margins': 0.4412384033203125, 'logps/chosen': -329.1625061035156, 'logps/rejected': -127.5374984741211, 'logits/chosen': -6.28125, 'logits/rejected': -6.515625, 'epoch': 0.12}
{'loss': 0.6132, 'grad_norm': 28.800308227539062, 'learning_rate': 1.2603406326034062e-07, 'rewards/chosen': 0.3852783143520355, 'rewards/rejected': 0.002285003662109375, 'rewards/accuracies': 0.7875000238418579, 'rewards/margins': 0.38233643770217896, 'logps/chosen': -258.125, 'logps/rejected': -113.875, 'logits/chosen': -6.568749904632568, 'logits/rejected': -6.745312690734863, 'epoch': 0.13}
{'loss': 0.6037, 'grad_norm': 25.095664978027344, 'learning_rate': 1.3090024330900243e-07, 'rewards/chosen': 0.7764526605606079, 'rewards/rejected': 0.00262451171875, 'rewards/accuracies': 0.7437499761581421, 'rewards/margins': 0.77484130859375, 'logps/chosen': -466.8500061035156, 'logps/rejected': -127.32499694824219, 'logits/chosen': -6.175000190734863, 'logits/rejected': -6.612500190734863, 'epoch': 0.13}
{'loss': 0.5899, 'grad_norm': 27.310903549194336, 'learning_rate': 1.3576642335766421e-07, 'rewards/chosen': 0.6462646722793579, 'rewards/rejected': -0.01058197021484375, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.657153308391571, 'logps/chosen': -377.1000061035156, 'logps/rejected': -118.6624984741211, 'logits/chosen': -6.307812690734863, 'logits/rejected': -6.574999809265137, 'epoch': 0.14}
{'loss': 0.5975, 'grad_norm': 33.262290954589844, 'learning_rate': 1.4063260340632602e-07, 'rewards/chosen': 0.5537353754043579, 'rewards/rejected': -0.01094741839915514, 'rewards/accuracies': 0.7124999761581421, 'rewards/margins': 0.5644592046737671, 'logps/chosen': -334.20001220703125, 'logps/rejected': -150.9875030517578, 'logits/chosen': -6.34375, 'logits/rejected': -6.6328125, 'epoch': 0.14}
{'loss': 0.5813, 'grad_norm': 29.22617530822754, 'learning_rate': 1.4549878345498783e-07, 'rewards/chosen': 0.500781238079071, 'rewards/rejected': -0.026302337646484375, 'rewards/accuracies': 0.8187500238418579, 'rewards/margins': 0.5275024175643921, 'logps/chosen': -265.11248779296875, 'logps/rejected': -153.125, 'logits/chosen': -6.642187595367432, 'logits/rejected': -6.703125, 'epoch': 0.15}
{'loss': 0.6067, 'grad_norm': 42.211265563964844, 'learning_rate': 1.5036496350364964e-07, 'rewards/chosen': 0.427734375, 'rewards/rejected': -0.02631530724465847, 'rewards/accuracies': 0.75, 'rewards/margins': 0.4546875059604645, 'logps/chosen': -238.60000610351562, 'logps/rejected': -136.625, 'logits/chosen': -6.690625190734863, 'logits/rejected': -6.842187404632568, 'epoch': 0.15}
{'loss': 0.5861, 'grad_norm': 37.65169906616211, 'learning_rate': 1.5523114355231142e-07, 'rewards/chosen': 0.6291748285293579, 'rewards/rejected': -0.02132568322122097, 'rewards/accuracies': 0.762499988079071, 'rewards/margins': 0.6502014398574829, 'logps/chosen': -337.375, 'logps/rejected': -114.4000015258789, 'logits/chosen': -6.389062404632568, 'logits/rejected': -6.956250190734863, 'epoch': 0.16}
{'loss': 0.5461, 'grad_norm': 27.42951774597168, 'learning_rate': 1.6009732360097323e-07, 'rewards/chosen': 0.7273925542831421, 'rewards/rejected': -0.08651123195886612, 'rewards/accuracies': 0.793749988079071, 'rewards/margins': 0.81329345703125, 'logps/chosen': -343.75, 'logps/rejected': -131.60000610351562, 'logits/chosen': -6.512499809265137, 'logits/rejected': -6.662499904632568, 'epoch': 0.16}
{'loss': 0.5751, 'grad_norm': 32.31758117675781, 'learning_rate': 1.64963503649635e-07, 'rewards/chosen': 0.4454101622104645, 'rewards/rejected': -0.08200988918542862, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 0.5276855230331421, 'logps/chosen': -250.53750610351562, 'logps/rejected': -149.4375, 'logits/chosen': -6.790625095367432, 'logits/rejected': -6.689062595367432, 'epoch': 0.17}
{'loss': 0.5595, 'grad_norm': 29.409597396850586, 'learning_rate': 1.6982968369829684e-07, 'rewards/chosen': 0.5404907464981079, 'rewards/rejected': -0.08124389499425888, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.621929943561554, 'logps/chosen': -234.33749389648438, 'logps/rejected': -132.625, 'logits/chosen': -6.839062690734863, 'logits/rejected': -6.787499904632568, 'epoch': 0.17}
{'loss': 0.5226, 'grad_norm': 30.85002326965332, 'learning_rate': 1.7469586374695862e-07, 'rewards/chosen': 0.7208496332168579, 'rewards/rejected': -0.12883910536766052, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.849536120891571, 'logps/chosen': -309.11248779296875, 'logps/rejected': -144.1999969482422, 'logits/chosen': -6.762499809265137, 'logits/rejected': -6.704687595367432, 'epoch': 0.18}
{'loss': 0.4904, 'grad_norm': 36.383384704589844, 'learning_rate': 1.7956204379562043e-07, 'rewards/chosen': 0.8709472417831421, 'rewards/rejected': -0.194854736328125, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.065039038658142, 'logps/chosen': -362.45001220703125, 'logps/rejected': -139.5124969482422, 'logits/chosen': -6.514062404632568, 'logits/rejected': -6.465624809265137, 'epoch': 0.18}
{'loss': 0.4809, 'grad_norm': 27.21693992614746, 'learning_rate': 1.844282238442822e-07, 'rewards/chosen': 0.7639404535293579, 'rewards/rejected': -0.1886211335659027, 'rewards/accuracies': 0.8812500238418579, 'rewards/margins': 0.953051745891571, 'logps/chosen': -274.82501220703125, 'logps/rejected': -126.51249694824219, 'logits/chosen': -6.856249809265137, 'logits/rejected': -6.909375190734863, 'epoch': 0.18}
{'loss': 0.5113, 'grad_norm': 19.899301528930664, 'learning_rate': 1.8929440389294405e-07, 'rewards/chosen': 1.1833374500274658, 'rewards/rejected': -0.20621642470359802, 'rewards/accuracies': 0.78125, 'rewards/margins': 1.3898437023162842, 'logps/chosen': -442.5, 'logps/rejected': -128.8625030517578, 'logits/chosen': -6.5390625, 'logits/rejected': -6.6328125, 'epoch': 0.19}
{'loss': 0.4888, 'grad_norm': 41.98199462890625, 'learning_rate': 1.9416058394160583e-07, 'rewards/chosen': 1.014306664466858, 'rewards/rejected': -0.2580932676792145, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 1.2721679210662842, 'logps/chosen': -403.75, 'logps/rejected': -157.60000610351562, 'logits/chosen': -6.693749904632568, 'logits/rejected': -6.6796875, 'epoch': 0.19}
{'loss': 0.4743, 'grad_norm': 27.76114845275879, 'learning_rate': 1.9902676399026763e-07, 'rewards/chosen': 0.682080090045929, 'rewards/rejected': -0.28649598360061646, 'rewards/accuracies': 0.856249988079071, 'rewards/margins': 0.9681640863418579, 'logps/chosen': -234.21249389648438, 'logps/rejected': -119.5, 'logits/chosen': -6.782812595367432, 'logits/rejected': -6.809374809265137, 'epoch': 0.2}
{'loss': 0.5552, 'grad_norm': 33.15753173828125, 'learning_rate': 2.0389294403892942e-07, 'rewards/chosen': 0.674182116985321, 'rewards/rejected': -0.23269958794116974, 'rewards/accuracies': 0.7437499761581421, 'rewards/margins': 0.9083007574081421, 'logps/chosen': -289.29998779296875, 'logps/rejected': -130.0500030517578, 'logits/chosen': -6.846875190734863, 'logits/rejected': -6.717187404632568, 'epoch': 0.2}
{'loss': 0.526, 'grad_norm': 22.511573791503906, 'learning_rate': 2.0875912408759122e-07, 'rewards/chosen': 0.928027331829071, 'rewards/rejected': -0.28200989961624146, 'rewards/accuracies': 0.737500011920929, 'rewards/margins': 1.211035132408142, 'logps/chosen': -334.9624938964844, 'logps/rejected': -120.2874984741211, 'logits/chosen': -6.840624809265137, 'logits/rejected': -6.8984375, 'epoch': 0.21}
{'loss': 0.4547, 'grad_norm': 19.95124053955078, 'learning_rate': 2.1362530413625303e-07, 'rewards/chosen': 0.7605956792831421, 'rewards/rejected': -0.32854002714157104, 'rewards/accuracies': 0.84375, 'rewards/margins': 1.08740234375, 'logps/chosen': -204.83749389648438, 'logps/rejected': -125.7249984741211, 'logits/chosen': -6.743750095367432, 'logits/rejected': -6.795312404632568, 'epoch': 0.21}
{'loss': 0.4823, 'grad_norm': 21.81450080871582, 'learning_rate': 2.1849148418491484e-07, 'rewards/chosen': 0.9470580816268921, 'rewards/rejected': -0.3974609375, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 1.344482421875, 'logps/chosen': -335.5249938964844, 'logps/rejected': -130.0625, 'logits/chosen': -6.879687309265137, 'logits/rejected': -6.881249904632568, 'epoch': 0.22}
{'loss': 0.5194, 'grad_norm': 39.74585723876953, 'learning_rate': 2.2335766423357662e-07, 'rewards/chosen': 0.6843597292900085, 'rewards/rejected': -0.33072203397750854, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 1.0152161121368408, 'logps/chosen': -241.75, 'logps/rejected': -134.97500610351562, 'logits/chosen': -7.004687309265137, 'logits/rejected': -6.923437595367432, 'epoch': 0.22}
{'loss': 0.5447, 'grad_norm': 78.5323257446289, 'learning_rate': 2.2822384428223843e-07, 'rewards/chosen': 0.508618175983429, 'rewards/rejected': -0.30604857206344604, 'rewards/accuracies': 0.768750011920929, 'rewards/margins': 0.81451416015625, 'logps/chosen': -200.10000610351562, 'logps/rejected': -134.125, 'logits/chosen': -7.015625, 'logits/rejected': -6.675000190734863, 'epoch': 0.23}
{'loss': 0.495, 'grad_norm': 31.0609130859375, 'learning_rate': 2.330900243309002e-07, 'rewards/chosen': 0.40632325410842896, 'rewards/rejected': -0.42890626192092896, 'rewards/accuracies': 0.78125, 'rewards/margins': 0.8355957269668579, 'logps/chosen': -158.41250610351562, 'logps/rejected': -130.03750610351562, 'logits/chosen': -7.1171875, 'logits/rejected': -7.0234375, 'epoch': 0.23}
{'loss': 0.423, 'grad_norm': 21.38212013244629, 'learning_rate': 2.3795620437956204e-07, 'rewards/chosen': 1.2350890636444092, 'rewards/rejected': -0.5155884027481079, 'rewards/accuracies': 0.831250011920929, 'rewards/margins': 1.748632788658142, 'logps/chosen': -405.20001220703125, 'logps/rejected': -135.5, 'logits/chosen': -6.949999809265137, 'logits/rejected': -7.074999809265137, 'epoch': 0.24}
{'loss': 0.4919, 'grad_norm': 23.418081283569336, 'learning_rate': 2.428223844282238e-07, 'rewards/chosen': 1.24212646484375, 'rewards/rejected': -0.4822753965854645, 'rewards/accuracies': 0.762499988079071, 'rewards/margins': 1.7257201671600342, 'logps/chosen': -455.5, 'logps/rejected': -137.9375, 'logits/chosen': -6.75, 'logits/rejected': -6.853125095367432, 'epoch': 0.24}
{'loss': 0.4175, 'grad_norm': 38.25864028930664, 'learning_rate': 2.4768856447688563e-07, 'rewards/chosen': 0.5468994379043579, 'rewards/rejected': -0.6104736328125, 'rewards/accuracies': 0.856249988079071, 'rewards/margins': 1.1570312976837158, 'logps/chosen': -194.4250030517578, 'logps/rejected': -163.47500610351562, 'logits/chosen': -7.028124809265137, 'logits/rejected': -6.717187404632568, 'epoch': 0.25}
{'loss': 0.468, 'grad_norm': 31.457094192504883, 'learning_rate': 2.5255474452554744e-07, 'rewards/chosen': 0.3889709413051605, 'rewards/rejected': -0.591326892375946, 'rewards/accuracies': 0.8062499761581421, 'rewards/margins': 0.980908215045929, 'logps/chosen': -161.58749389648438, 'logps/rejected': -154.3125, 'logits/chosen': -7.185937404632568, 'logits/rejected': -6.870312690734863, 'epoch': 0.25}
{'loss': 0.4209, 'grad_norm': 24.325942993164062, 'learning_rate': 2.574209245742092e-07, 'rewards/chosen': 0.883593738079071, 'rewards/rejected': -0.774218738079071, 'rewards/accuracies': 0.831250011920929, 'rewards/margins': 1.6579101085662842, 'logps/chosen': -279.125, 'logps/rejected': -151.85000610351562, 'logits/chosen': -7.207812309265137, 'logits/rejected': -6.907812595367432, 'epoch': 0.26}
{'loss': 0.3764, 'grad_norm': 29.764970779418945, 'learning_rate': 2.62287104622871e-07, 'rewards/chosen': 0.887603759765625, 'rewards/rejected': -0.867871105670929, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 1.756250023841858, 'logps/chosen': -285.04998779296875, 'logps/rejected': -154.4250030517578, 'logits/chosen': -7.245312690734863, 'logits/rejected': -7.15625, 'epoch': 0.26}
{'loss': 0.4234, 'grad_norm': 36.877464294433594, 'learning_rate': 2.671532846715328e-07, 'rewards/chosen': 0.828399658203125, 'rewards/rejected': -0.65234375, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 1.4812500476837158, 'logps/chosen': -298.95001220703125, 'logps/rejected': -124.51249694824219, 'logits/chosen': -7.048437595367432, 'logits/rejected': -6.9453125, 'epoch': 0.27}
{'loss': 0.4683, 'grad_norm': 50.02045822143555, 'learning_rate': 2.7201946472019467e-07, 'rewards/chosen': 0.7067657709121704, 'rewards/rejected': -0.8321288824081421, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.54052734375, 'logps/chosen': -263.875, 'logps/rejected': -143.14999389648438, 'logits/chosen': -7.2890625, 'logits/rejected': -6.910937309265137, 'epoch': 0.27}
{'loss': 0.4199, 'grad_norm': 37.47872543334961, 'learning_rate': 2.768856447688564e-07, 'rewards/chosen': 1.0939452648162842, 'rewards/rejected': -0.711181640625, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 1.804589867591858, 'logps/chosen': -320.6499938964844, 'logps/rejected': -142.10000610351562, 'logits/chosen': -7.243750095367432, 'logits/rejected': -7.037499904632568, 'epoch': 0.28}
{'loss': 0.4377, 'grad_norm': 33.25881576538086, 'learning_rate': 2.8175182481751823e-07, 'rewards/chosen': 1.502600073814392, 'rewards/rejected': -0.9560546875, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 2.460156202316284, 'logps/chosen': -441.54998779296875, 'logps/rejected': -153.2375030517578, 'logits/chosen': -7.128125190734863, 'logits/rejected': -7.109375, 'epoch': 0.28}
{'loss': 0.4176, 'grad_norm': 72.94646453857422, 'learning_rate': 2.8661800486618004e-07, 'rewards/chosen': 0.926647961139679, 'rewards/rejected': -1.022558569908142, 'rewards/accuracies': 0.793749988079071, 'rewards/margins': 1.948144555091858, 'logps/chosen': -315.51251220703125, 'logps/rejected': -123.5875015258789, 'logits/chosen': -7.328125, 'logits/rejected': -7.1875, 'epoch': 0.29}
{'loss': 0.405, 'grad_norm': 26.468225479125977, 'learning_rate': 2.9148418491484185e-07, 'rewards/chosen': 0.774401843547821, 'rewards/rejected': -0.9166015386581421, 'rewards/accuracies': 0.8374999761581421, 'rewards/margins': 1.690332055091858, 'logps/chosen': -263.4125061035156, 'logps/rejected': -143.10000610351562, 'logits/chosen': -7.228125095367432, 'logits/rejected': -7.078125, 'epoch': 0.29}
{'loss': 0.3933, 'grad_norm': 33.32448959350586, 'learning_rate': 2.963503649635036e-07, 'rewards/chosen': 1.02484130859375, 'rewards/rejected': -1.042626976966858, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 2.0658202171325684, 'logps/chosen': -295.04998779296875, 'logps/rejected': -149.0625, 'logits/chosen': -7.295312404632568, 'logits/rejected': -7.095312595367432, 'epoch': 0.3}
{'loss': 0.3925, 'grad_norm': 25.31595802307129, 'learning_rate': 3.012165450121654e-07, 'rewards/chosen': 1.387597680091858, 'rewards/rejected': -1.0309569835662842, 'rewards/accuracies': 0.8062499761581421, 'rewards/margins': 2.4193358421325684, 'logps/chosen': -431.625, 'logps/rejected': -150.53750610351562, 'logits/chosen': -6.957812309265137, 'logits/rejected': -6.859375, 'epoch': 0.3}
{'loss': 0.3518, 'grad_norm': 25.917211532592773, 'learning_rate': 3.060827250608272e-07, 'rewards/chosen': 0.620922863483429, 'rewards/rejected': -1.442480444908142, 'rewards/accuracies': 0.8687499761581421, 'rewards/margins': 2.062695264816284, 'logps/chosen': -243.5749969482422, 'logps/rejected': -157.1374969482422, 'logits/chosen': -7.376562595367432, 'logits/rejected': -6.996874809265137, 'epoch': 0.31}
{'loss': 0.4247, 'grad_norm': 30.118974685668945, 'learning_rate': 3.1094890510948903e-07, 'rewards/chosen': 0.335794061422348, 'rewards/rejected': -1.5027344226837158, 'rewards/accuracies': 0.8125, 'rewards/margins': 1.8363037109375, 'logps/chosen': -192.0749969482422, 'logps/rejected': -126.3125, 'logits/chosen': -7.456250190734863, 'logits/rejected': -6.978125095367432, 'epoch': 0.31}
{'loss': 0.339, 'grad_norm': 26.70298957824707, 'learning_rate': 3.158150851581509e-07, 'rewards/chosen': 1.6522705554962158, 'rewards/rejected': -1.396093726158142, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 3.047656297683716, 'logps/chosen': -465.42498779296875, 'logps/rejected': -147.47500610351562, 'logits/chosen': -7.201562404632568, 'logits/rejected': -7.150000095367432, 'epoch': 0.32}
{'loss': 0.4272, 'grad_norm': 21.924043655395508, 'learning_rate': 3.2068126520681264e-07, 'rewards/chosen': 0.494711309671402, 'rewards/rejected': -1.435546875, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 1.9291503429412842, 'logps/chosen': -229.91250610351562, 'logps/rejected': -167.10000610351562, 'logits/chosen': -7.5859375, 'logits/rejected': -7.074999809265137, 'epoch': 0.32}
