  0%|          | 0/134 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                      
{'loss': 0.6914, 'grad_norm': 314.8016662597656, 'learning_rate': 1.6666666666666668e-07, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1592.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 0.9229, 'grad_norm': 260.6794128417969, 'learning_rate': 2.0000000000000003e-06, 'rewards/chosen': -1.2265625, 'rewards/rejected': -3.765625, 'rewards/accuracies': 0.2890625, 'rewards/margins': 2.53125, 'logps/chosen': -1624.0, 'logps/rejected': -1416.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.18}
{'loss': 0.9963, 'grad_norm': 169.57183837890625, 'learning_rate': 2.166666666666667e-06, 'rewards/chosen': -1.9609375, 'rewards/rejected': -4.4375, 'rewards/accuracies': 0.265625, 'rewards/margins': 2.46875, 'logps/chosen': -1488.0, 'logps/rejected': -1320.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.19}
{'loss': 0.8117, 'grad_norm': 148.66555786132812, 'learning_rate': 2.3333333333333336e-06, 'rewards/chosen': -1.5234375, 'rewards/rejected': -4.53125, 'rewards/accuracies': 0.30078125, 'rewards/margins': 3.015625, 'logps/chosen': -1672.0, 'logps/rejected': -1576.0, 'logits/chosen': -2.359375, 'logits/rejected': nan, 'epoch': 0.21}
{'loss': 0.8856, 'grad_norm': 103.99799346923828, 'learning_rate': 2.5e-06, 'rewards/chosen': 0.56640625, 'rewards/rejected': -3.03125, 'rewards/accuracies': 0.2734375, 'rewards/margins': 3.59375, 'logps/chosen': -1680.0, 'logps/rejected': -1552.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.22}
{'loss': 0.9356, 'grad_norm': 104.55554962158203, 'learning_rate': 2.666666666666667e-06, 'rewards/chosen': 2.53125, 'rewards/rejected': -1.7734375, 'rewards/accuracies': 0.26953125, 'rewards/margins': 4.3125, 'logps/chosen': -1696.0, 'logps/rejected': -1568.0, 'logits/chosen': nan, 'logits/rejected': -2.78125, 'epoch': 0.24}
{'loss': 0.962, 'grad_norm': 116.68730163574219, 'learning_rate': 2.8333333333333335e-06, 'rewards/chosen': 3.765625, 'rewards/rejected': 1.46875, 'rewards/accuracies': 0.30859375, 'rewards/margins': 2.296875, 'logps/chosen': -1632.0, 'logps/rejected': -1480.0, 'logits/chosen': -2.5625, 'logits/rejected': nan, 'epoch': 0.25}
{'loss': 0.9468, 'grad_norm': 112.36434173583984, 'learning_rate': 3e-06, 'rewards/chosen': 5.09375, 'rewards/rejected': 1.3828125, 'rewards/accuracies': 0.2890625, 'rewards/margins': 3.71875, 'logps/chosen': -1688.0, 'logps/rejected': -1512.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.27}
{'loss': 0.881, 'grad_norm': 109.33718872070312, 'learning_rate': 3.1666666666666667e-06, 'rewards/chosen': 5.5, 'rewards/rejected': 2.28125, 'rewards/accuracies': 0.29296875, 'rewards/margins': 3.21875, 'logps/chosen': -1824.0, 'logps/rejected': -1688.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.28}
{'loss': 0.9993, 'grad_norm': 121.86450958251953, 'learning_rate': 3.3333333333333333e-06, 'rewards/chosen': 3.640625, 'rewards/rejected': -0.578125, 'rewards/accuracies': 0.30859375, 'rewards/margins': 4.21875, 'logps/chosen': -1688.0, 'logps/rejected': -1456.0, 'logits/chosen': -1.84375, 'logits/rejected': nan, 'epoch': 0.3}
{'loss': 0.9551, 'grad_norm': 109.45516204833984, 'learning_rate': 3.5e-06, 'rewards/chosen': 4.0, 'rewards/rejected': 0.5625, 'rewards/accuracies': 0.26953125, 'rewards/margins': 3.4375, 'logps/chosen': -1760.0, 'logps/rejected': -1600.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.31}
{'loss': 0.8545, 'grad_norm': 93.57270050048828, 'learning_rate': 3.6666666666666666e-06, 'rewards/chosen': 3.03125, 'rewards/rejected': 0.193359375, 'rewards/accuracies': 0.359375, 'rewards/margins': 2.84375, 'logps/chosen': -1664.0, 'logps/rejected': -1440.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.33}
{'loss': 0.9436, 'grad_norm': 187.78189086914062, 'learning_rate': 3.833333333333334e-06, 'rewards/chosen': 2.328125, 'rewards/rejected': -0.6640625, 'rewards/accuracies': 0.34765625, 'rewards/margins': 2.984375, 'logps/chosen': -1800.0, 'logps/rejected': -1640.0, 'logits/chosen': nan, 'logits/rejected': -2.53125, 'epoch': 0.34}
{'loss': 0.9455, 'grad_norm': 122.0450210571289, 'learning_rate': 4.000000000000001e-06, 'rewards/chosen': 5.0625, 'rewards/rejected': 1.9453125, 'rewards/accuracies': 0.2890625, 'rewards/margins': 3.09375, 'logps/chosen': -1768.0, 'logps/rejected': -1576.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.36}
{'loss': 0.8746, 'grad_norm': 101.73612213134766, 'learning_rate': 4.166666666666667e-06, 'rewards/chosen': 4.9375, 'rewards/rejected': 1.8671875, 'rewards/accuracies': 0.3046875, 'rewards/margins': 3.078125, 'logps/chosen': -1624.0, 'logps/rejected': -1544.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.37}
{'loss': 1.1943, 'grad_norm': 126.4903564453125, 'learning_rate': 4.333333333333334e-06, 'rewards/chosen': 2.546875, 'rewards/rejected': 1.3671875, 'rewards/accuracies': 0.23828125, 'rewards/margins': 1.171875, 'logps/chosen': -1744.0, 'logps/rejected': -1664.0, 'logits/chosen': -1.625, 'logits/rejected': nan, 'epoch': 0.39}
{'loss': 1.0165, 'grad_norm': 98.92090606689453, 'learning_rate': 4.5e-06, 'rewards/chosen': 1.8046875, 'rewards/rejected': 0.024658203125, 'rewards/accuracies': 0.34765625, 'rewards/margins': 1.7734375, 'logps/chosen': -1944.0, 'logps/rejected': -1800.0, 'logits/chosen': -1.4296875, 'logits/rejected': -1.8671875, 'epoch': 0.4}
{'loss': 1.1703, 'grad_norm': 317.512451171875, 'learning_rate': 4.666666666666667e-06, 'rewards/chosen': 0.322265625, 'rewards/rejected': -0.5078125, 'rewards/accuracies': 0.29296875, 'rewards/margins': 0.828125, 'logps/chosen': -1416.0, 'logps/rejected': -1312.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.42}
{'loss': 0.8878, 'grad_norm': 101.30848693847656, 'learning_rate': 4.833333333333333e-06, 'rewards/chosen': 3.46875, 'rewards/rejected': 1.59375, 'rewards/accuracies': 0.3125, 'rewards/margins': 1.875, 'logps/chosen': -1544.0, 'logps/rejected': -1416.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.43}
{'loss': 0.8703, 'grad_norm': 145.0277099609375, 'learning_rate': 5e-06, 'rewards/chosen': 8.4375, 'rewards/rejected': 6.53125, 'rewards/accuracies': 0.3359375, 'rewards/margins': 1.9375, 'logps/chosen': -1680.0, 'logps/rejected': -1568.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.45}
  warnings.warn(                                
{'eval_loss': 0.9451938271522522, 'eval_runtime': 2420.4217, 'eval_samples_per_second': 1.003, 'eval_steps_per_second': 0.004, 'eval_rewards/chosen': 7.731249809265137, 'eval_rewards/rejected': 6.173437595367432, 'eval_rewards/accuracies': 0.39151424169540405, 'eval_rewards/margins': 1.5658690929412842, 'eval_logps/chosen': -1423.5999755859375, 'eval_logps/rejected': -1213.199951171875, 'eval_logits/chosen': nan, 'eval_logits/rejected': nan, 'epoch': 0.45}
                                                       
{'loss': 0.8723, 'grad_norm': 103.50082397460938, 'learning_rate': 4.9989735151014505e-06, 'rewards/chosen': 9.375, 'rewards/rejected': 6.53125, 'rewards/accuracies': 0.34375, 'rewards/margins': 2.859375, 'logps/chosen': -1640.0, 'logps/rejected': -1448.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.46}
{'loss': 0.8676, 'grad_norm': 94.58984375, 'learning_rate': 4.995894997002464e-06, 'rewards/chosen': 7.6875, 'rewards/rejected': 6.0, 'rewards/accuracies': 0.328125, 'rewards/margins': 1.6953125, 'logps/chosen': -1624.0, 'logps/rejected': -1520.0, 'logits/chosen': nan, 'logits/rejected': -2.15625, 'epoch': 0.48}
{'loss': 0.9754, 'grad_norm': 120.07738494873047, 'learning_rate': 4.990767254638455e-06, 'rewards/chosen': 5.78125, 'rewards/rejected': 3.828125, 'rewards/accuracies': 0.3125, 'rewards/margins': 1.953125, 'logps/chosen': -1544.0, 'logps/rejected': -1416.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.49}
{'loss': 0.9963, 'grad_norm': 133.18820190429688, 'learning_rate': 4.9835949667206215e-06, 'rewards/chosen': 3.21875, 'rewards/rejected': 1.453125, 'rewards/accuracies': 0.2734375, 'rewards/margins': 1.765625, 'logps/chosen': -1704.0, 'logps/rejected': -1536.0, 'logits/chosen': -1.734375, 'logits/rejected': nan, 'epoch': 0.51}
{'loss': 1.0133, 'grad_norm': 134.1292724609375, 'learning_rate': 4.974384677466953e-06, 'rewards/chosen': 3.46875, 'rewards/rejected': 1.4375, 'rewards/accuracies': 0.33984375, 'rewards/margins': 2.03125, 'logps/chosen': -1616.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.52}
{'loss': 1.0681, 'grad_norm': 160.7230987548828, 'learning_rate': 4.9631447906310734e-06, 'rewards/chosen': 6.8125, 'rewards/rejected': 3.484375, 'rewards/accuracies': 0.3515625, 'rewards/margins': 3.34375, 'logps/chosen': -1808.0, 'logps/rejected': -1600.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.54}
{'loss': 0.9591, 'grad_norm': 83.86431121826172, 'learning_rate': 4.949885561834406e-06, 'rewards/chosen': 8.3125, 'rewards/rejected': 5.3125, 'rewards/accuracies': 0.30859375, 'rewards/margins': 3.015625, 'logps/chosen': -1672.0, 'logps/rejected': -1568.0, 'logits/chosen': -1.8671875, 'logits/rejected': nan, 'epoch': 0.55}
{'loss': 0.967, 'grad_norm': 138.3656768798828, 'learning_rate': 4.934619089208618e-06, 'rewards/chosen': 6.21875, 'rewards/rejected': 3.21875, 'rewards/accuracies': 0.3125, 'rewards/margins': 3.015625, 'logps/chosen': -1616.0, 'logps/rejected': -1584.0, 'logits/chosen': nan, 'logits/rejected': -2.40625, 'epoch': 0.57}
{'loss': 1.0193, 'grad_norm': 133.52256774902344, 'learning_rate': 4.917359302356912e-06, 'rewards/chosen': 3.390625, 'rewards/rejected': -0.88671875, 'rewards/accuracies': 0.37890625, 'rewards/margins': 4.28125, 'logps/chosen': -1840.0, 'logps/rejected': -1712.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.58}
{'loss': 0.9847, 'grad_norm': 90.55802917480469, 'learning_rate': 4.8981219496442275e-06, 'rewards/chosen': 3.09375, 'rewards/rejected': -2.234375, 'rewards/accuracies': 0.33984375, 'rewards/margins': 5.34375, 'logps/chosen': -1584.0, 'logps/rejected': -1520.0, 'logits/chosen': -2.09375, 'logits/rejected': nan, 'epoch': 0.6}
{'loss': 1.252, 'grad_norm': 198.7074432373047, 'learning_rate': 4.876924583827941e-06, 'rewards/chosen': 1.015625, 'rewards/rejected': -4.46875, 'rewards/accuracies': 0.34765625, 'rewards/margins': 5.5, 'logps/chosen': -2080.0, 'logps/rejected': -1816.0, 'logits/chosen': nan, 'logits/rejected': -2.765625, 'epoch': 0.61}
{'loss': 0.9349, 'grad_norm': 93.760986328125, 'learning_rate': 4.853786546042184e-06, 'rewards/chosen': 2.6875, 'rewards/rejected': -1.859375, 'rewards/accuracies': 0.3515625, 'rewards/margins': 4.5625, 'logps/chosen': -1624.0, 'logps/rejected': -1520.0, 'logits/chosen': -2.3125, 'logits/rejected': nan, 'epoch': 0.63}
{'loss': 0.9111, 'grad_norm': 98.10257720947266, 'learning_rate': 4.828728948150395e-06, 'rewards/chosen': 6.09375, 'rewards/rejected': 1.21875, 'rewards/accuracies': 0.3359375, 'rewards/margins': 4.875, 'logps/chosen': -1768.0, 'logps/rejected': -1608.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.64}
{'loss': 0.8618, 'grad_norm': 86.47515869140625, 'learning_rate': 4.801774653482204e-06, 'rewards/chosen': 6.1875, 'rewards/rejected': 2.078125, 'rewards/accuracies': 0.3515625, 'rewards/margins': 4.09375, 'logps/chosen': -1560.0, 'logps/rejected': -1376.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.66}
{'loss': 0.9763, 'grad_norm': 126.08647155761719, 'learning_rate': 4.772948255972208e-06, 'rewards/chosen': 8.625, 'rewards/rejected': 5.40625, 'rewards/accuracies': 0.30859375, 'rewards/margins': 3.25, 'logps/chosen': -1528.0, 'logps/rejected': -1424.0, 'logits/chosen': -2.28125, 'logits/rejected': -2.765625, 'epoch': 0.67}
{'loss': 1.0379, 'grad_norm': 112.22000885009766, 'learning_rate': 4.742276057719722e-06, 'rewards/chosen': 8.375, 'rewards/rejected': 4.5, 'rewards/accuracies': 0.375, 'rewards/margins': 3.890625, 'logps/chosen': -1704.0, 'logps/rejected': -1480.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.69}
{'loss': 0.995, 'grad_norm': 125.99968719482422, 'learning_rate': 4.7097860449899104e-06, 'rewards/chosen': 5.3125, 'rewards/rejected': 2.609375, 'rewards/accuracies': 0.3203125, 'rewards/margins': 2.703125, 'logps/chosen': -1712.0, 'logps/rejected': -1608.0, 'logits/chosen': -1.9609375, 'logits/rejected': nan, 'epoch': 0.7}
{'loss': 1.2899, 'grad_norm': 330.8096923828125, 'learning_rate': 4.675507862678258e-06, 'rewards/chosen': -0.015869140625, 'rewards/rejected': -2.015625, 'rewards/accuracies': 0.3203125, 'rewards/margins': 2.0, 'logps/chosen': -1840.0, 'logps/rejected': -1568.0, 'logits/chosen': -1.765625, 'logits/rejected': nan, 'epoch': 0.72}
{'loss': 1.2024, 'grad_norm': 395.5959167480469, 'learning_rate': 4.639472787261647e-06, 'rewards/chosen': -0.97265625, 'rewards/rejected': -1.65625, 'rewards/accuracies': 0.22265625, 'rewards/margins': 0.68359375, 'logps/chosen': -1496.0, 'logps/rejected': -1304.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.73}
{'loss': 0.9288, 'grad_norm': 193.70152282714844, 'learning_rate': 4.601713698260727e-06, 'rewards/chosen': 1.5078125, 'rewards/rejected': -1.140625, 'rewards/accuracies': 0.32421875, 'rewards/margins': 2.640625, 'logps/chosen': -1848.0, 'logps/rejected': -1720.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.75}
{'loss': 0.9559, 'grad_norm': 80.64704132080078, 'learning_rate': 4.562265048239629e-06, 'rewards/chosen': 6.125, 'rewards/rejected': 4.0625, 'rewards/accuracies': 0.36328125, 'rewards/margins': 2.078125, 'logps/chosen': -1736.0, 'logps/rejected': -1504.0, 'logits/chosen': -2.03125, 'logits/rejected': nan, 'epoch': 0.76}
{'loss': 0.7918, 'grad_norm': 94.17839813232422, 'learning_rate': 4.521162831370363e-06, 'rewards/chosen': 10.875, 'rewards/rejected': 8.125, 'rewards/accuracies': 0.3515625, 'rewards/margins': 2.765625, 'logps/chosen': -1704.0, 'logps/rejected': -1496.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.78}
{'loss': 1.231, 'grad_norm': 93.7568359375, 'learning_rate': 4.478444550590631e-06, 'rewards/chosen': 10.5625, 'rewards/rejected': 8.5, 'rewards/accuracies': 0.3671875, 'rewards/margins': 2.0625, 'logps/chosen': -1560.0, 'logps/rejected': -1328.0, 'logits/chosen': nan, 'logits/rejected': -2.640625, 'epoch': 0.79}
{'loss': 1.21, 'grad_norm': 226.930908203125, 'learning_rate': 4.434149183384978e-06, 'rewards/chosen': 11.875, 'rewards/rejected': 9.125, 'rewards/accuracies': 0.3203125, 'rewards/margins': 2.734375, 'logps/chosen': -1768.0, 'logps/rejected': -1648.0, 'logits/chosen': -1.515625, 'logits/rejected': nan, 'epoch': 0.81}
{'loss': 1.1519, 'grad_norm': 90.92660522460938, 'learning_rate': 4.388317146220524e-06, 'rewards/chosen': 6.5625, 'rewards/rejected': 4.625, 'rewards/accuracies': 0.3515625, 'rewards/margins': 1.9375, 'logps/chosen': -1520.0, 'logps/rejected': -1384.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.82}
{'loss': 0.976, 'grad_norm': 150.0218963623047, 'learning_rate': 4.340990257669732e-06, 'rewards/chosen': 3.140625, 'rewards/rejected': 1.4765625, 'rewards/accuracies': 0.34375, 'rewards/margins': 1.6640625, 'logps/chosen': -1672.0, 'logps/rejected': -1520.0, 'logits/chosen': -1.59375, 'logits/rejected': nan, 'epoch': 0.84}
{'loss': 0.8756, 'grad_norm': 90.8734130859375, 'learning_rate': 4.2922117002538395e-06, 'rewards/chosen': 1.5703125, 'rewards/rejected': -0.27734375, 'rewards/accuracies': 0.33203125, 'rewards/margins': 1.8515625, 'logps/chosen': -1552.0, 'logps/rejected': -1480.0, 'logits/chosen': -1.859375, 'logits/rejected': nan, 'epoch': 0.85}
{'loss': 1.1785, 'grad_norm': 329.16607666015625, 'learning_rate': 4.2420259810417895e-06, 'rewards/chosen': -1.4609375, 'rewards/rejected': -2.75, 'rewards/accuracies': 0.2734375, 'rewards/margins': 1.2890625, 'logps/chosen': -1752.0, 'logps/rejected': -1520.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.87}
{'loss': 1.0577, 'grad_norm': 222.89332580566406, 'learning_rate': 4.190478891040599e-06, 'rewards/chosen': -1.6015625, 'rewards/rejected': -3.84375, 'rewards/accuracies': 0.35546875, 'rewards/margins': 2.25, 'logps/chosen': -1696.0, 'logps/rejected': -1584.0, 'logits/chosen': nan, 'logits/rejected': -2.75, 'epoch': 0.88}
{'loss': 0.9179, 'grad_norm': 95.75025939941406, 'learning_rate': 4.137617463414223e-06, 'rewards/chosen': 0.91796875, 'rewards/rejected': -1.8046875, 'rewards/accuracies': 0.3515625, 'rewards/margins': 2.71875, 'logps/chosen': -1488.0, 'logps/rejected': -1344.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.9}
  warnings.warn(                                
{'eval_loss': 1.018610954284668, 'eval_runtime': 2433.4335, 'eval_samples_per_second': 0.997, 'eval_steps_per_second': 0.004, 'eval_rewards/chosen': 4.192187309265137, 'eval_rewards/rejected': 2.260937452316284, 'eval_rewards/accuracies': 0.33657264709472656, 'eval_rewards/margins': 1.931787133216858, 'eval_logps/chosen': -1435.5999755859375, 'eval_logps/rejected': -1228.4000244140625, 'eval_logits/chosen': nan, 'eval_logits/rejected': nan, 'epoch': 0.9}
                                                       
{'loss': 1.0708, 'grad_norm': 123.52308654785156, 'learning_rate': 4.083489930569038e-06, 'rewards/chosen': 5.78125, 'rewards/rejected': 2.0, 'rewards/accuracies': 0.390625, 'rewards/margins': 3.796875, 'logps/chosen': -1792.0, 'logps/rejected': -1680.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.91}
{'loss': 0.882, 'grad_norm': 80.12115478515625, 'learning_rate': 4.028145680145101e-06, 'rewards/chosen': 6.59375, 'rewards/rejected': 3.6875, 'rewards/accuracies': 0.3515625, 'rewards/margins': 2.90625, 'logps/chosen': -1600.0, 'logps/rejected': -1472.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.93}
{'loss': 0.7094, 'grad_norm': 63.1989631652832, 'learning_rate': 3.9716352099533275e-06, 'rewards/chosen': 6.8125, 'rewards/rejected': 3.234375, 'rewards/accuracies': 0.34765625, 'rewards/margins': 3.578125, 'logps/chosen': -1816.0, 'logps/rejected': -1640.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.94}
{'loss': 0.863, 'grad_norm': 91.2594985961914, 'learning_rate': 3.9140100818997275e-06, 'rewards/chosen': 5.15625, 'rewards/rejected': 3.3125, 'rewards/accuracies': 0.2890625, 'rewards/margins': 1.84375, 'logps/chosen': -1560.0, 'logps/rejected': -1384.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.96}
{'loss': 0.8948, 'grad_norm': 66.26085662841797, 'learning_rate': 3.855322874938724e-06, 'rewards/chosen': 4.21875, 'rewards/rejected': 0.69140625, 'rewards/accuracies': 0.36328125, 'rewards/margins': 3.546875, 'logps/chosen': -1696.0, 'logps/rejected': -1504.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.97}
{'loss': 0.7462, 'grad_norm': 57.856048583984375, 'learning_rate': 3.7956271370984792e-06, 'rewards/chosen': 2.484375, 'rewards/rejected': -1.109375, 'rewards/accuracies': 0.3515625, 'rewards/margins': 3.59375, 'logps/chosen': -1544.0, 'logps/rejected': -1424.0, 'logits/chosen': -2.28125, 'logits/rejected': nan, 'epoch': 0.99}
{'loss': 0.7762, 'grad_norm': 122.5790023803711, 'learning_rate': 3.734977336622016e-06, 'rewards/chosen': -0.228515625, 'rewards/rejected': -4.09375, 'rewards/accuracies': 0.3132529854774475, 'rewards/margins': 3.875, 'logps/chosen': -2096.0, 'logps/rejected': -2032.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 1.0}
{'loss': 0.8347, 'grad_norm': 159.74734497070312, 'learning_rate': 3.6734288122687036e-06, 'rewards/chosen': 0.48046875, 'rewards/rejected': -3.390625, 'rewards/accuracies': 0.37890625, 'rewards/margins': 3.875, 'logps/chosen': -1888.0, 'logps/rejected': -1712.0, 'logits/chosen': -1.8828125, 'logits/rejected': nan, 'epoch': 1.01}
{'loss': 0.7748, 'grad_norm': 106.9563980102539, 'learning_rate': 3.611037722821452e-06, 'rewards/chosen': 2.5, 'rewards/rejected': -1.1875, 'rewards/accuracies': 0.43359375, 'rewards/margins': 3.6875, 'logps/chosen': -1632.0, 'logps/rejected': -1528.0, 'logits/chosen': nan, 'logits/rejected': -2.984375, 'epoch': 1.03}
{'loss': 0.6959, 'grad_norm': 68.74287414550781, 'learning_rate': 3.5478609958457057e-06, 'rewards/chosen': 5.125, 'rewards/rejected': 0.27734375, 'rewards/accuracies': 0.375, 'rewards/margins': 4.84375, 'logps/chosen': -1832.0, 'logps/rejected': -1728.0, 'logits/chosen': nan, 'logits/rejected': -2.078125, 'epoch': 1.04}
{'loss': 0.7592, 'grad_norm': 70.75491333007812, 'learning_rate': 3.4839562757469563e-06, 'rewards/chosen': 4.90625, 'rewards/rejected': 1.59375, 'rewards/accuracies': 0.38671875, 'rewards/margins': 3.328125, 'logps/chosen': -1616.0, 'logps/rejected': -1424.0, 'logits/chosen': -1.9921875, 'logits/rejected': nan, 'epoch': 1.06}
{'loss': 0.7452, 'grad_norm': 57.703365325927734, 'learning_rate': 3.419381871174207e-06, 'rewards/chosen': 3.328125, 'rewards/rejected': 0.1318359375, 'rewards/accuracies': 0.296875, 'rewards/margins': 3.203125, 'logps/chosen': -1664.0, 'logps/rejected': -1512.0, 'logits/chosen': -1.671875, 'logits/rejected': nan, 'epoch': 1.07}
